mojo_title,criticscore,criticcount,audiencescore,audiencecount
Beauty and the Beholder,89,27,7.4,92
The Fencer,41,6,6.2,5
I Still See You,60,13,No score yet,N/A
From the East,31,7,6.8,12
That Way Madness Lies...,63,5,6.6,34
The Lost Village,Link error,Link error,Link error,Link error
Signature Move,Link error,Link error,Link error,Link error
In Search of Fellini,Link error,Link error,Link error,Link error
Finding Happiness,55,5,6.3,7
West Of The Jordan River,Link error,Link error,Link error,Link error
Forever,56,8,No score yet,N/A
Last Men in Aleppo,Link error,Link error,Link error,Link error
The Swan,80,14,3.7,31
Charged: The Eduardo Garcia Story,58,10,No score yet,N/A
The Pact,Link error,Link error,Link error,Link error
Kingsman: The Golden Circle,54,10,6.7,31
The Cage Fighter,44,44,6.4,527
Escapes,71,7,No score yet,N/A
The Paris Opera,72,9,8.0,4
Shadowman,54,5,No score yet,N/A
At First Light,78,6,No score yet,N/A
The Second Time Around,Link error,Link error,Link error,Link error
Tom of Finland,Link error,Link error,Link error,Link error
ACORN and the Firestorm,56,13,7.1,8
Straight Into a Storm,56,4,No score yet,N/A
Nana,48,4,No score yet,N/A
Living Proof,Link error,Link error,Link error,Link error
Game Changers,47,6,No score yet,N/A
Song Of Granite,Link error,Link error,Link error,Link error
Félicité,68,7,No score yet,N/A
Porto,Link error,Link error,Link error,Link error
The Citizen,75,11,8.3,4
Armed,38,4,7.8,5
Brimstone & Glory,Link error,Link error,Link error,Link error
The Family,Link error,Link error,Link error,Link error
Frank and Ava,42,32,6.2,172
Miss Kiet's Children,58,5,No score yet,N/A
The Peacemaker,70,9,No score yet,N/A
Nocturama,43,20,5.4,39
American Dresser,71,15,6.9,13
The Other Side of Everything,24,4,No score yet,N/A
Wonderstruck,Link error,Link error,Link error,Link error
Status Update,71,44,6.2,47
Stella's Last Weekend,Link error,Link error,Link error,Link error
The Texture of Falling,37,4,No score yet,N/A
Weightless,Link error,Link error,Link error,Link error
Kickboxer: Retaliation,56,11,No score yet,N/A
Kangaroo,54,5,6.1,14
The Long Dumb Road,66,5,No score yet,N/A
Edward II,64,12,4.8,4
Dolores,68,5,No score yet,N/A
Notes on an Appearance,81,11,7.2,5
Intersection,61,4,No score yet,N/A
12 Days,Link error,Link error,Link error,Link error
In Searching,81,6,No score yet,N/A
I Am MLK Jr.,tbd,4,No score yet,N/A
"Distant Voices, Still Lives",44,17,7.6,7
Aida's Secrets,73,12,7.7,6
On the Beach at Night Alone,58,17,6.2,5
Chavela,80,14,7.7,10
Defining Hope,68,9,8.0,5
School of Life,70,11,5.8,12
An Evening with Beverly Luff Linn,Link error,Link error,Link error,Link error
A Whale of a Tale,54,17,7.3,7
Shoah: Four Sisters,Link error,Link error,Link error,Link error
Calling All Earthlings,Link error,Link error,Link error,Link error
Ex Libris: New York Public Library,55,6,No score yet,N/A
The Lodgers,91,22,8.0,12
This is Congo,56,6,No score yet,N/A
In Echo Park,75,12,No score yet,N/A
Spiral,tbd,4,No score yet,N/A
Painless,40,4,6.2,9
The Clovehitch Killer,Link error,Link error,Link error,Link error
Tall: The American Skyscraper and Louis Sullivan,59,11,6.4,26
Summer of '67,Link error,Link error,Link error,Link error
Spettacolo,Link error,Link error,Link error,Link error
Legend of the Mountain,76,8,No score yet,N/A
Step Up: High Water,67,4,No score yet,N/A
The Crime of Monsieur Lange,79,5,No score yet,N/A
Please Stand By,69,22,6.7,14
Beauty and the Dogs,49,12,6.9,24
Survivors Guide To Prison,65,10,No score yet,N/A
Zoo Wars,66,5,No score yet,N/A
Strangers on the Earth,62,11,No score yet,N/A
The Quest of Alain Ducasse,54,4,No score yet,N/A
River Runs Red,61,7,No score yet,N/A
Wedding Party 2,26,5,No score yet,N/A
Bullitt County,72,9,8.6,8
The Advocates,50,5,No score yet,N/A
Mama Africa,Link error,Link error,Link error,Link error
Class Rank,50,6,No score yet,N/A
Rendezvous in July,Link error,Link error,Link error,Link error
The Most Unknown,66,7,No score yet,N/A
Souvenir,Link error,Link error,Link error,Link error
This is Our Land,49,10,No score yet,N/A
Hannah,61,8,No score yet,N/A
My Art,63,9,8.0,4
The Last Race,53,9,No score yet,N/A
Minding the Gap,77,6,No score yet,N/A
Novitiate,90,27,8.2,46
Quest,73,30,7.5,20
American Chaos,59,11,No score yet,N/A
Shooting the Mafia,52,9,No score yet,N/A
"Lou Andreas-Salomé, The Audacity to be Free",Link error,Link error,Link error,Link error
Our Blood is Wine,60,11,5.5,4
Shed Skin Papa,Link error,Link error,Link error,Link error
Greater,Link error,Link error,Link error,Link error
Night Shift,35,4,7.9,10
End of the Century,62,11,9.0,5
The Fox Hunter,45,10,No score yet,N/A
PGS: Intuition Is Your Personal Guidance System,76,17,7.0,28
The Lucky Man,74,31,7.8,55
Trust Machine: The Story of Blockchain,Link error,Link error,Link error,Link error
When You Read This Letter,62,4,No score yet,N/A
The Escape,Link error,Link error,Link error,Link error
Chasing the Blues,75,15,6.8,6
Bob le Flambeur,49,5,No score yet,N/A
Just One Drop,46,11,6.3,8
Allegiance to Broadway,77,13,8.0,6
To the Arctic 3D,Link error,Link error,Link error,Link error
Christ Stopped at Eboli,Link error,Link error,Link error,Link error
Gabriel and the Mountain,Link error,Link error,Link error,Link error
The Painted Bird,69,9,No score yet,N/A
"Amigo Skate, Cuba",72,25,6.1,10
The Transcendents,44,4,No score yet,N/A
Goldie,42,19,3.0,6
Crock of Gold: A Few Rounds with Shane MacGowan,72,10,No score yet,N/A
Bump Kowalski and the Ten Commandments,77,10,No score yet,N/A
Anything,88,10,No score yet,N/A
Who We Are Now,60,10,8.0,4
Ip Man: Kung Fu Master,83,7,5.6,10
To the Arctic 3D,Link error,Link error,Link error,Link error
Active Measures,54,10,8.1,21
The Devil and Father Amorth,68,9,7.5,19
Ice Dragon: Legend of the Blue Daisies,46,16,6.0,4
November,Link error,Link error,Link error,Link error
The Happys,47,26,8.8,41
Journey to the South Pacific,Link error,Link error,Link error,Link error
Izzy Gets the F*ck Across Town,tbd,4,No score yet,N/A
Loving Pablo,41,9,No score yet,N/A
The Tag Along: Devil Fish,42,16,6.2,11
The Workshop,78,11,6.2,5
Ava,74,15,6.3,4
Winning Formula,Link error,Link error,Link error,Link error
A Paris Education,76,5,No score yet,N/A
Babyteeth,53,5,No score yet,N/A
Deep Sea,77,29,7.0,27
The Atomic Cafe,48,39,7.1,270
Dear Santa,78,10,8.0,5
Sex and the Future,72,6,No score yet,N/A
Just One More Kiss,75,16,No score yet,N/A
Matthias & Maxime,tbd,4,No score yet,N/A
Human Nature,59,7,No score yet,N/A
The Other Lamb,56,30,7.1,20
Hubble 3D,65,17,6.3,9
Guest Artist,tbd,4,8.6,22
Human Capital,Link error,Link error,Link error,Link error
Made in Bangladesh,63,19,7.6,14
Que Leones,Link error,Link error,Link error,Link error
Death House,Link error,Link error,Link error,Link error
Afterward,72,14,8.0,4
An Elephant's Journey,66,5,No score yet,N/A
12 Hour Shift,72,7,No score yet,N/A
Let There Be Light,63,12,6.5,6
Jet Trash,76,11,7.6,10
Ridge Runners,49,5,No score yet,N/A
The Divine Order,tbd,4,No score yet,N/A
Vazante,67,16,6.6,8
The Misandrists,68,12,No score yet,N/A
Milford Graves Full Mantis,56,11,No score yet,N/A
Night of 7 Years,38,8,No score yet,N/A
Same Kind of Different as Me,72,4,No score yet,N/A
Belle de Jour,47,7,6.7,12
Cold Water,68,9,No score yet,N/A
The Cured,90,6,7.0,4
Poor Boy,57,20,6.1,18
The Apparition,84,18,No score yet,N/A
Resistance,18,13,3.8,59
Charm City,53,19,6.0,9
The Mercy,Link error,Link error,Link error,Link error
Memories of Underdevelopment,60,19,5.7,14
Black and Blue,Link error,Link error,Link error,Link error
Kind Hearts and Coronets,69,31,6.1,8
Stardust,54,13,No score yet,N/A
Under the Sea 3D,66,33,8.6,365
The Perfect Race,75,33,7.0,7
Inside the Rain,68,26,6.3,55
Draupadi Unleashed,Link error,Link error,Link error,Link error
Twiceborn,Link error,Link error,Link error,Link error
Coded Bias,67,8,No score yet,N/A
Vitalina Varela,Link error,Link error,Link error,Link error
The Kingmaker,Link error,Link error,Link error,Link error
The Wild Goose Lake,69,6,No score yet,N/A
Saving Brinton,76,17,6.6,11
The Grizzlies,78,5,No score yet,N/A
Straight Up,69,4,No score yet,N/A
Young Ahmed,66,12,6.3,8
BPM (Beats Per Minute),66,21,4.7,6
"No Date, No Signature",73,11,No score yet,N/A
Just Getting Started,73,11,7.4,10
For Those Who Don't Read Me,21,10,3.6,23
Goodland,Link error,Link error,Link error,Link error
The Big Bad Fox and Other Tales,Link error,Link error,Link error,Link error
Maui,66,6,7.8,12
24 Frames,64,15,6.7,6
The Other Side of Hope,Link error,Link error,Link error,Link error
"Hale County This Morning, This Evening",84,23,7.1,24
The House of Tomorrow,66,13,No score yet,N/A
Gray Matter,58,13,No score yet,N/A
Mamma Mia!,71,18,No score yet,N/A
Small Group,51,37,6.9,371
Centigrade,71,15,8.3,8
Girls vs Gangsters,46,8,No score yet,N/A
Strike,Link error,Link error,Link error,Link error
"I Was at Home, But...",Link error,Link error,Link error,Link error
Oolong Courtyard: KungFu School,39,10,5.5,6
Araby,66,5,No score yet,N/A
Submission,82,8,No score yet,N/A
Never Rarely Sometimes Always,52,13,6.5,4
Sputnik,91,35,0.8,1620
Shithouse,61,19,6.5,40
The Rescue,74,15,7.8,8
Foster Boy,Link error,Link error,Link error,Link error
American Deep State,Link error,Link error,Link error,Link error
Advocate,75,12,No score yet,N/A
Lore,77,6,No score yet,N/A
Pandora and the Flying Dutchman,76,28,7.7,28
Made in Hong Kong,82,5,No score yet,N/A
The Jesus Rolls,Link error,Link error,Link error,Link error
Mandy,44,13,3.6,5
Premature,81,30,6.9,240
Born to Be Wild,61,9,No score yet,N/A
Golden Exits,Link error,Link error,Link error,Link error
First We Take Brooklyn,71,21,6.9,9
L'Innocente,Link error,Link error,Link error,Link error
Humor Me,66,6,No score yet,N/A
Rodin,53,9,No score yet,N/A
A Ciambra,39,14,No score yet,N/A
Bigger,70,17,8.8,9
350 Days - Legends. Champions. Survivors,37,5,No score yet,N/A
What Will People Say,76,10,No score yet,N/A
Jumanji/Jumanji: Welcome to the Jungle,69,15,6.6,8
Summer in the Forest,70,7,No score yet,N/A
The Snowman Trek,72,6,No score yet,N/A
Before We Vanish,50,17,6.0,5
Digimon Adventure tri. Part 5: Coexistence,Link error,Link error,Link error,Link error
The Great Silence,67,12,7.2,5
Digimon Adventure tri. Part 6: Future,Link error,Link error,Link error,Link error
DAZN Boxing: Canelo Alvarez vs. Rocky Fielding,72,13,No score yet,N/A
Wanda,49,13,8.8,4
Unsubscribe,82,13,8.4,5
José,72,15,No score yet,N/A
Olympic Dreams,75,16,6.5,12
Disappearance at Clifton Hill,55,12,No score yet,N/A
After Parkland,61,11,No score yet,N/A
Rent-A-Pal,74,7,No score yet,N/A
Max Winslow and the House of Secrets,61,7,No score yet,N/A
Swallow,56,8,No score yet,N/A
True History of the Kelly Gang,65,22,6.4,36
Cane River,75,27,5.3,22
Bacurau,80,7,No score yet,N/A
Last Christmas,82,27,8.1,99
Buffaloed,41,14,6.9,20
A Christmas Story,61,13,6.8,10
Solo Brathuke So Better,77,8,8.6,190
Three Christs,tbd,4,No score yet,N/A
Abominable,39,13,5.5,6
Black '47,71,32,6.6,42
Cynthia,51,19,6.1,15
In Search of Greatness,Link error,Link error,Link error,Link error
My Friend Dahmer,72,7,No score yet,N/A
A Kid Like Jake,68,26,7.4,31
Digimon Adventure tri. Part 4: Loss,58,20,5.7,6
Walk With Me,57,13,7.0,4
Never Goin' Back,55,6,8.8,4
Making the Five Heartbeats,58,7,No score yet,N/A
"Westwood: Punk, Icon, Activist",Link error,Link error,Link error,Link error
Where Is Kyra?,65,5,6.8,11
Where Hands Touch,72,20,6.9,11
Outside In,44,13,7.0,7
The House That Jack Built,76,18,7.0,7
Liz and the Blue Bird,Link error,Link error,Link error,Link error
Feng Shui,Link error,Link error,Link error,Link error
"3100, Run and Become",Link error,Link error,Link error,Link error
The Doctor from India,27,16,2.3,98
Namiya,Link error,Link error,Link error,Link error
Tom of Finland,Link error,Link error,Link error,Link error
Charlie's Angels,75,20,6.1,11
Henchmen,67,18,No score yet,N/A
Summerland,Link error,Link error,Link error,Link error
Helicopter Eela,56,22,7.6,7
Enter the Fat Dragon,83,24,6.8,26
My Brothers' Crossing,Link error,Link error,Link error,Link error
Heaven,52,12,5.8,4
Waves,Link error,Link error,Link error,Link error
Miss Fisher & the Crypt of Tears,69,26,5.7,11
The Whistlers,Link error,Link error,Link error,Link error
Pray: The Story of Patrick Peyton,76,28,6.6,12
Honey Boy,tbd,4,No score yet,N/A
On the Basis of Sex,55,14,5.7,11
Tesla,73,27,6.1,15
First Lady,67,30,4.4,14
The Lighthouse,tbd,4,No score yet,N/A
Come and See,63,8,No score yet,N/A
Bye Bye Germany,Link error,Link error,Link error,Link error
StarDog and TurboCat,Link error,Link error,Link error,Link error
Riverdance 25th Anniversary Show,Link error,Link error,Link error,Link error
Above and Beyond: NASA's Journey to Tomorrow,tbd,4,No score yet,N/A
Archenemy,74,8,6.9,7
The Riot Act,57,7,7.3,8
A Breath Away,Link error,Link error,Link error,Link error
"Nico, 1988",47,18,4.9,14
After Auschwitz,77,16,6.3,11
En el séptimo día,74,8,No score yet,N/A
Keys To The Heart,55,24,6.5,8
Doctor Who: The Woman Who Fell to Earth,Link error,Link error,Link error,Link error
The Brawler,54,5,4.1,8
93Queen,46,4,No score yet,N/A
Claire's Camera,73,5,No score yet,N/A
Nancy,50,24,5.0,28
Goldstone,67,17,6.4,14
Bolshoi Ballet: Swan Lake,78,10,7.2,14
The Wandering Earth,60,19,7.7,519
Custody,64,27,8.0,22
First Cow,83,21,7.4,24
Made in Italy,89,41,6.9,83
Big Brother,45,11,6.2,5
Lobster Cop,Link error,Link error,Link error,Link error
The Price of Everything,Link error,Link error,Link error,Link error
Citizen K,76,16,No score yet,N/A
The Third Murder,58,23,6.0,5
The Man Standing Next,68,18,6.9,15
Come to Daddy,Link error,Link error,Link error,Link error
Ammonite,64,20,5.9,25
Invisible Life,73,38,7.0,27
"14 Days, 12 Nights",Link error,Link error,Link error,Link error
Grease,69,11,No score yet,N/A
Lupin III: The First,70,15,8.6,221
The Nest,61,4,7.5,4
Corpus Christi,79,31,7.2,19
Burden,77,20,8.1,23
Archive,72,11,No score yet,N/A
Incitement,67,6,7.2,32
Always and Forever,77,7,5.3,4
The Burnt Orange Heresy,54,33,7.4,9
Love Story,57,26,6.0,5
A Call to Spy,84,5,7.7,27
The Grinch,65,9,4.2,6
Beneath Us,84,16,No score yet,N/A
Most Wanted,Link error,Link error,Link error,Link error
BANDSTAND: The Broadway Musical on Screen,62,7,6.0,6
Godspeed: The Race Across America,72,14,6.2,26
Champion,45,40,6.1,54
National Theatre Live: Macbeth,tbd,4,No score yet,N/A
Meow Wolf: Origin Story,71,8,No score yet,N/A
Filmworker,75,5,No score yet,N/A
John McEnroe: In the Realm of Perfection,70,17,6.8,6
The Man Who Invented Christmas,82,17,6.1,7
Andrei Rublev,60,32,6.7,35
Golden Slumber,62,17,7.5,4
Revenge,Link error,Link error,Link error,Link error
Detective K: Secret of the Living Dead,81,23,6.4,135
Never Heard,Link error,Link error,Link error,Link error
National Theatre Live: Julius Caesar,78,19,No score yet,N/A
Deep Sea,69,34,7.0,310
Ismael's Ghosts,38,33,6.4,162
Namaste England,57,12,No score yet,N/A
The Good Liar,87,21,7.3,32
"Love, Cecil",40,17,1.6,23
Palm Springs,67,13,6.9,23
Extra Ordinary,83,42,7.8,215
Zombieland: Double Tap,72,14,6.5,23
National Theater Live: Cyrano de Bergerac,84,26,6.4,43
The Secrets We Keep,68,20,7.1,20
Wild Mountain Thyme,47,13,4.8,4
Frozen,45,24,5.6,7
Doctor Who Live Q&A And Screening,43,16,6.2,90
Blind Eyes Opened,82,26,7.8,6
Wonder Woman,73,25,7.9,52
An American in Paris,76,50,6.4,3319
Jiang Ziya,83,18,5.8,6
Mystify: Michael Hutchence,Link error,Link error,Link error,Link error
Mary Shelley,73,8,5.5,4
CatVideoFest 2020,49,28,5.8,22
Amazing Grace,62,14,6.7,9
A Chance in the World,87,26,9.0,816
Fatman,81,6,8.7,12
A Boy. A Girl. A Dream.,40,24,6.6,48
Nostalgia,75,22,8.1,37
The Captain,47,22,3.8,5
George Takei's Allegiance,Link error,Link error,Link error,Link error
Geostorm,69,4,No score yet,N/A
Yu-Gi-Oh!: The Movie - Pyramid of Light,21,22,4.2,210
Gonjiam: Haunted Asylum,Link error,Link error,Link error,Link error
The Young Karl Marx,Link error,Link error,Link error,Link error
Sleepless in Seattle,62,14,6.1,12
Ryuichi Sakamoto: Coda,72,17,6.9,81
Bisbee '17,78,12,7.0,6
How the Grinch Stole Christmas,71,16,7.8,5
Love After Love,46,29,6.5,208
Judy,84,14,6.3,8
Playing with Fire,66,14,5.1,15
Bel Canto,61,11,No score yet,N/A
Ordinary Love,50,18,6.3,9
Clemency,73,24,7.3,12
Die Hard,Link error,Link error,Link error,Link error
Les Misérables,72,14,5.8,841
Ride Your Wave,64,7,No score yet,N/A
Yellow Rose,63,9,No score yet,N/A
The Traitor,70,14,7.0,5
She Dies Tomorrow,64,22,6.6,16
The Kid Detective,80,37,5.0,41
Buddy Games,74,14,6.8,9
Stevie Nicks 24 Karat Gold the Concert,22,6,5.5,6
Tulsa,tbd,4,No score yet,N/A
Seberg,68,34,8.2,48
Greed,54,28,4.6,15
Pinocchio,52,32,5.5,11
Ava,Link error,Link error,Link error,Link error
Black Panther,63,4,No score yet,N/A
Iron Man,71,22,8.3,7
Best F(r)iends Volume Two,79,38,8.5,2227
Inside Out,61,18,8.0,4
Beauty and the Beast,28,8,4.7,6
Swing Kids,92,7,8.1,34
Night of the Living Dead,88,24,7.9,81
Support the Girls,89,17,8.2,59
Eating Animals,85,34,6.8,42
"Buttons, A New Musical Film",69,14,8.3,7
National Theatre Live: The Curious Incident of the Dog in the Night-Time,29,6,8.2,6
Far From the Tree,72,35,7.3,124
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,70,15,8.0,4
Is Genesis History?,72,12,No score yet,N/A
Museo,70,20,6.2,18
Bad Reputation,86,14,7.6,13
The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,66,15,6.4,8
Luis and the Aliens,68,27,6.4,75
Dark Waters,46,4,7.0,5
The Big Ugly,51,23,6.5,174
Journey's End,52,7,No score yet,N/A
Harriet,78,35,7.4,31
Rampant,Link error,Link error,Link error,Link error
Guardians of the Galaxy,Link error,Link error,Link error,Link error
Black Christmas,76,53,8.5,3239
Chhapaak,Link error,Link error,Link error,Link error
100% Wolf,Link error,Link error,Link error,Link error
Alone,56,15,No score yet,N/A
The Polar Express,70,9,6.5,21
Pain and Glory,61,36,6.9,237
Patterns of Evidence: The Red Sea Miracle,70,28,6.2,123
The Santa Clause,66,19,6.2,14
Baaghi 3,Link error,Link error,Link error,Link error
Coco,95,26,9.0,1311
Ghostbusters,54,4,8.2,6
Possessor,14,4,5.2,12
21 Bridges,72,28,7.5,40
The Bolshoi Ballet: Live From Moscow - The Flames of Paris,49,13,No score yet,N/A
Born to Be Wild,81,15,5.7,14
Maquia: When the Promised Flower Blooms,87,21,8.7,596
Goldbuster,81,18,6.9,20
The Monkey King 3,Link error,Link error,Link error,Link error
The Bolshoi Ballet: Live From Moscow - Don Quixote,51,4,No score yet,N/A
The Accidental Detective 2: In Action,68,10,No score yet,N/A
Last Letter,Link error,Link error,Link error,Link error
The Final Year,Link error,Link error,Link error,Link error
Fate/Stay Night: Heaven's Feel - I. Presage Flower,67,31,5.7,9
Gauguin: Voyage to Tahiti,89,19,7.8,31
Madeline's Madeline,54,11,6.6,5
Zama,71,30,6.0,25
The Bolshoi Ballet: Live From Moscow - Coppélia,89,26,7.3,38
Shortcut,73,11,8.0,7
Vanguard,26,6,No score yet,N/A
Sarileru Neekevvaru,34,14,No score yet,N/A
Becky,39,9,6.6,5
The Last Shift,54,22,6.3,23
The Tax Collector,61,13,5.3,4
Default,22,14,5.6,50
The Guilty,34,5,No score yet,N/A
Relic,83,23,8.1,71
Love and Monsters,77,36,6.1,54
The Assistant,59,11,8.0,66
The Goonies,79,43,4.9,70
Cut Throat City,62,13,7.4,168
True to the Game 2,67,11,6.4,9
Promising Young Woman,Link error,Link error,Link error,Link error
2 Hearts,72,38,7.6,64
Once Upon a Time... In Hollywood,29,6,No score yet,N/A
Joker,63,29,5.7,52
The Wretched,64,31,5.8,68
The Personal History of David Copperfield,61,15,6.3,11
Elf,77,39,4.5,38
Half Brothers,64,38,8.5,361
The Nightmare Before Christmas,30,7,No score yet,N/A
Fatale,82,31,8.4,174
Train to Busan Presents: Peninsula,42,13,No score yet,N/A
The Dating Project,51,26,4.9,48
Jurassic Park,87,24,8.3,20
The Treasure of the Sierra Madre,68,20,8.9,919
The Producers,98,10,8.5,93
Getting Grace,52,37,7.8,168
A Bad Moms Christmas,tbd,4,No score yet,N/A
Fragments of Truth,42,30,4.6,84
MFKZ,55,13,No score yet,N/A
Borg vs. McEnroe,48,6,8.6,19
Agent Mr. Chan,64,41,7.1,138
Hamlet,80,19,7.9,336
Alien Intrusion: Unmasking a Deception,72,30,6.6,34
RWBY: Argus Limited,72,17,7.8,6
The Square,16,12,3.4,28
Big,75,24,7.1,23
Across the Universe,73,20,8.6,159
What They Had,56,29,7.3,269
Skate Kitchen,69,25,6.9,14
Star Wars: Episode V - The Empire Strikes Back,72,29,7.3,8
Words on Bathroom Walls,82,25,9.1,1842
Generation Wealth,61,12,6.6,5
The Last Full Measure,53,23,7.8,19
My Boyfriend's Meds,51,25,6.9,25
Queen & Slim,Link error,Link error,Link error,Link error
Portrait of a Lady on Fire,58,13,6.8,4
Infidel,74,36,6.5,29
The King,Link error,Link error,Link error,Link error
The Broken Hearts Gallery,58,29,7.3,13
The SpongeBob Movie: Sponge on the Run,57,21,7.7,36
Richard Jewell,Link error,Link error,Link error,Link error
A Beautiful Day in the Neighborhood,Link error,Link error,Link error,Link error
The Rhythm Section,44,17,3.9,28
The Hunt,45,36,4.1,41
Cats,Link error,Link error,Link error,Link error
Downhill,72,30,8.5,105
Freaky,49,39,4.1,42
Let Him Go,66,37,6.4,45
Come Play,63,36,6.7,29
I Still Believe,58,21,5.8,17
Bloodshot,41,12,6.0,40
Emma.,44,35,5.0,192
Jojo Rabbit,39,5,6.3,24
The Way Back,29,13,4.1,45
Eating You Alive,66,33,7.2,106
Kings,80,22,7.3,111
Disney's Newsies: The Broadway Musical!,34,18,3.4,7
Andy Irons: Kissed by God,Link error,Link error,Link error,Link error
The Bolshoi Ballet: Live From Moscow - Giselle,65,31,7.4,39
Great Performances at the Met: MET Opera: Magic Flute,58,4,5.3,6
Under the Sea 3D,79,15,7.7,6
The Bolshoi Ballet: Live From Moscow - The Nutcracker,Link error,Link error,Link error,Link error
Son of Bigfoot,45,20,5.4,17
Hichki,Link error,Link error,Link error,Link error
Russ Taff: I Still Believe,87,25,8.3,55
Damsel,94,22,6.9,81
Get Out,63,33,4.6,20
Jane and Emma,85,48,7.4,1439
Honest Thief,70,9,8.2,49
Gretel & Hansel,46,21,6.2,31
The War with Grandpa,48,37,6.3,201
The Photograph,34,23,5.1,33
Unhinged,62,27,6.6,29
The Grudge,40,36,5.3,50
Suicide the Ripple Effect,49,32,3.4,258
The New Mutants,33,31,3.3,37
Kusama: Infinity,43,20,4.2,322
Mountain,71,17,No score yet,N/A
Parasite,22,29,4.6,96
Just Mercy,56,26,6.6,52
The Gentlemen,60,57,3.9,1621
Spies in Disguise,51,44,7.9,423
Frozen II,69,50,7.2,1085
The Call of the Wild,61,56,7.3,382
The Invisible Man,47,43,6.5,91
Little Women,72,58,6.9,533
Birds of Prey,26,46,5.1,163
Star Wars: Episode IX - The Rise of Skywalker,60,59,3.0,2502
1917,47,42,8.2,1194
Jurassic Park,77,8,7.3,10
Oh Lucy!,75,18,7.3,9
Attack on Titan: Smoke Signal,69,18,6.5,10
Vertigo,tbd,4,No score yet,N/A
Krull,100,32,8.8,240
Space Mutiny,45,10,6.8,8
Blade Runner 2049,86,17,7.9,48
Leaning Into The Wind,81,54,8.3,2277
The Gospel According to André,76,14,6.8,4
Believer,82,27,6.3,27
The Oath,58,5,No score yet,N/A
The Philadelphia Story,72,12,No score yet,N/A
"The Night Is Short, Walk on Girl",96,13,8.2,20
Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,55,7,7.5,4
DCI 2018 Tour Premeire,91,15,8.4,26
Porco Rosso,62,21,8.2,152
Perfect Blue,83,11,8.2,46
Puffs: Filmed Live Off Broadway,70,32,5.6,18
Bilal: A New Breed of Hero,59,46,6.6,258
Monster,52,11,8.6,40
Die Hard,74,40,7.2,127
The Sandlot,81,20,7.1,19
Grave of the Fireflies,55,27,8.0,6
Castle in the Sky,94,16,9.3,56
Fireworks,78,7,8.7,68
Anna and the Apocalypse,40,10,4.1,16
Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,67,24,7.2,6
The Happy Prince,62,28,7.2,15
The Great Battle,64,26,6.5,15
The Room,tbd,4,No score yet,N/A
The Ex-File 3: The Return of The Exes,9,5,5.2,361
The Cat Returns,69,6,7.3,12
Loveless,70,11,7.3,24
The Riot and the Dance,75,10,No score yet,N/A
The Big Lebowski,64,17,No score yet,N/A
Marshall,71,46,8.7,712
Burning,66,34,6.7,61
The Sound of Music,92,44,7.4,352
Foxtrot,63,11,8.5,49
The Transformers,88,34,7.3,34
Ponyo,59,32,6.2,17
Dragon Ball Z: Broly - The Legendary Super Saiyan,Link error,Link error,Link error,Link error
The Trump Prophecy,70,20,8.1,10
Monster Hunt 2,Link error,Link error,Link error,Link error
HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,69,12,No score yet,N/A
"Love, Gilda",67,37,6.1,32
On Chesil Beach,49,27,6.4,18
How Long Will I Love U,62,33,6.4,27
The Island,Link error,Link error,Link error,Link error
The Party,50,38,8.7,695
1945,73,31,6.3,32
Pokémon the Movie: The Power of Us,50,24,4.7,19
Like Arrows,74,29,6.9,37
Kedarnath,79,33,6.1,28
The Dawn Wall,56,17,No score yet,N/A
Little Italy,Link error,Link error,Link error,Link error
Labyrinth,28,4,5.5,10
The Insult,50,10,8.5,175
Wildlife,72,25,8.2,27
The Cakemaker,69,36,7.0,53
Great Performances at the Met: Rossini: Semiramide,74,9,7.7,17
Qué León,66,13,7.5,41
Along With the Gods: The Two Worlds,79,18,8.1,12
Great Performances at the Met: Verdi: Luisa Miller,80,44,7.6,50
Spirited Away,Link error,Link error,Link error,Link error
Beautifully Broken,tbd,4,6.3,10
Grease,Link error,Link error,Link error,Link error
Great Performances at the Met: Mozart: Così fan tutte,84,28,7.7,29
102 Not Out,tbd,4,6.3,4
Little Women,94,53,8.3,3015
Made for More,Link error,Link error,Link error,Link error
Princess Mononoke,53,15,6.5,11
Operation Red Sea,Link error,Link error,Link error,Link error
Great Performances at the Met: Verdi: Aida,Link error,Link error,Link error,Link error
On the Basis of Sex,Link error,Link error,Link error,Link error
The Front Runner,48,5,No score yet,N/A
Assassination Nation,61,44,6.2,37
Pope Francis: A Man of His Word,56,28,6.4,45
The Bookshop,86,43,7.0,106
Great Performances at the Met: Puccini: Tosca,62,22,6.5,20
1991,51,31,6.7,46
Suspiria,92,42,7.7,117
A Beautiful Planet,79,11,7.9,72
Bharath Ane Nenu,84,41,7.3,305
Puzzle,Link error,Link error,Link error,Link error
God Bless the Broken Road,Link error,Link error,Link error,Link error
American Animals,31,6,7.3,10
Whitney,68,40,7.8,105
Thoroughbreds,75,37,7.7,27
The Sisters Brothers,75,37,7.1,106
The Leisure Seeker,78,44,7.4,117
Hearts Beat Loud,45,23,7.3,11
